Tanggal;Tavg
28/01/2023;25,6
29/01/2023;26,4
30/01/2023;27,3
31/01/2023;26,9
01/02/2023;27
02/02/2023;27,1
03/02/2023;25,9
04/02/2023;27,3
05/02/2023;28
06/02/2023;28,5
07/02/2023;27,2
08/02/2023;27
09/02/2023;25,9
10/02/2023;27
11/02/2023;27,5
12/02/2023;24,6
13/02/2023;26,9
14/02/2023;26,2
15/02/2023;27,3
16/02/2023;25,7
17/02/2023;26,4
18/02/2023;27,4
19/02/2023;27,5
20/02/2023;27,5
21/02/2023;26,4
22/02/2023;26,8
23/02/2023;26,2
24/02/2023;25,7
25/02/2023;26,4
26/02/2023;26,2
27/02/2023;26,7
28/02/2023;26,8
01/03/2023;25,8
02/03/2023;24,6
03/03/2023;26,8
04/03/2023;26,9
05/03/2023;25,9
06/03/2023;27,7
07/03/2023;27,2
08/03/2023;25,7
09/03/2023;26,6
10/03/2023;27,1
11/03/2023;27,7
12/03/2023;27,5
13/03/2023;27,4
14/03/2023;26,2
15/03/2023;24,7
16/03/2023;26,4
17/03/2023;27,3
18/03/2023;27,8
19/03/2023;28,3
20/03/2023;27,2
21/03/2023;27,6
22/03/2023;28,2
23/03/2023;27,9
24/03/2023;28,3
25/03/2023;28,2
26/03/2023;26,4
27/03/2023;26,9
28/03/2023;26,1
29/03/2023;26,2
30/03/2023;25,4
31/03/2023;28,2
01/04/2023;27,1
02/04/2023;28,2
03/04/2023;28
04/04/2023;28,1
05/04/2023;28,5
06/04/2023;28,1
07/04/2023;27,6
08/04/2023;28,4
09/04/2023;27,3
10/04/2023;27,4
11/04/2023;27,7
12/04/2023;28,4
13/04/2023;28,4
14/04/2023;27,8
15/04/2023;28,8
16/04/2023;28,5
17/04/2023;29,4
18/04/2023;28,2
19/04/2023;28,4
20/04/2023;28,3
21/04/2023;28,1
22/04/2023;28,6
23/04/2023;28
24/04/2023;28,6
25/04/2023;27,9
26/04/2023;28,2
27/04/2023;28,4
28/04/2023;28,1
29/04/2023;27,8
30/04/2023;28,3
01/05/2023;27,6
02/05/2023;27,9
03/05/2023;28,8
04/05/2023;28,7
05/05/2023;28,7
06/05/2023;28,5
07/05/2023;28
08/05/2023;28,2
09/05/2023;29,3
10/05/2023;29
11/05/2023;28,7
12/05/2023;30,1
13/05/2023;29
14/05/2023;28,5
15/05/2023;28,4
16/05/2023;28,3
17/05/2023;28
18/05/2023;28,1
19/05/2023;28,9
20/05/2023;28,5
21/05/2023;28,4
22/05/2023;28,7
23/05/2023;28
24/05/2023;27,2
25/05/2023;28,2
26/05/2023;29
